target,hull_energy,rxn,dG_rxn,temperature,c1,c2,gamma_obs,gamma_opt
Li2Mo1O4,0.0,Li2CO3 + MoO3 -> Li2MoO4 + CO2,-0.091,673,-0.065,0.0,-0.051,-0.084
Li2Mo1O4,0.0,Li2CO3 + MoO3 -> Li2MoO4 + CO2,-0.107,773,-0.074,0.0,-0.059,-0.088
Li2Mo1O4,0.0,2 LiHO + MoO3 -> H2O + Li2MoO4,-0.191,1073,-0.093,0.0,-0.082,-0.103
Li2Mo1O4,0.0,2 LiHO + MoO3 -> H2O + Li2MoO4,-0.228,1323,-0.094,0.0,-0.089,-0.114
Li2Mo4O13,0.011,Li2CO3 + 4 MoO3 -> CO2 + Li2Mo4O13,-0.041,1073,0.114,0.116,0.09,0.025
Li4Mo5O17,0.014,Li2CO3 + 2.5 MoO3 -> CO2 + 0.5 Li4Mo5O17,-0.054,1073,0.101,0.093,0.074,0.038
Cr1O3Sr1,0.073,Cr2O3 + 2 Sr3Cr2O8 -> 0.5 O2 + 6 SrCrO3,0.144,1373,0.323,0.144,0.245,-0.006
Ca1Ga2O4,0.003,Ga2O3 + CaCO3 -> CO2 + Ca(GaO2)2,-0.105,1423,0.011,0.066,0.008,0.008
Cd1In2O4,0.0,CdCO3 + In2O3 -> CO2 + CdIn2O4,-0.129,1123,-0.129,0.0,-0.093,-0.093
Cd1In2O4,0.0,CdO + In2O3 -> CdIn2O4,-0.104,1073,-0.104,0.0,-0.075,-0.086
Ca1O3Zr1,0.0,CaCO3 + ZrO2 -> CO2 + CaZrO3,-0.103,1553,-0.024,0.009,-0.027,-0.037
Ca1O3Zr1,0.0,Ca(HO)2 + ZrO2 -> H2O + CaZrO3,-0.043,1073,-0.018,0.005,-0.015,-0.038
Ca1O3Zr1,0.0,CaO + ZrO2 -> CaZrO3,-0.093,1473,-0.045,0.009,-0.037,-0.037
Ca1O3Zr1,0.0,CaCO3 + ZrO2 -> CO2 + CaZrO3,-0.126,1673,-0.021,0.018,-0.026,-0.037
Ca1O3Zr1,0.0,CaO + ZrO2 -> CaZrO3,-0.088,1273,-0.046,0.008,-0.038,-0.038
Ca1O3Zr1,0.0,CaCO3 + ZrO2 -> CO2 + CaZrO3,-0.174,1923,-0.013,0.038,-0.024,-0.036
Ca1O3Zr1,0.0,CaCO3 + ZrO2 -> CO2 + CaZrO3,-0.061,1323,-0.025,0.007,-0.022,-0.038
Ca1O3Zr1,0.0,CaCO3 + ZrO2 -> CO2 + CaZrO3,-0.164,1873,-0.015,0.034,-0.025,-0.036
Ca1O3Zr1,0.0,CaCO3 + ZrO2 -> CO2 + CaZrO3,-0.075,1398,-0.028,0.007,-0.026,-0.037
Ca1O3Zr1,0.0,CaCO3 + ZrO2 -> CO2 + CaZrO3,-0.154,1823,-0.016,0.03,-0.025,-0.036
Ca1O3Zr1,0.0,CaCO3 + ZrO2 -> CO2 + CaZrO3,-0.145,1773,-0.018,0.026,-0.026,-0.036
Ca1O3Zr1,0.0,CaCO3 + ZrO2 -> CO2 + CaZrO3,-0.107,1573,-0.023,0.01,-0.027,-0.037
Ca1O3Zr1,0.0,CaCO3 + ZrO2 -> CO2 + CaZrO3,-0.135,1723,-0.019,0.022,-0.026,-0.036
Ca1O3Zr1,0.0,CaCO3 + ZrO2 -> CO2 + CaZrO3,-0.079,1423,-0.028,0.007,-0.026,-0.037
Nb2O6Sn1,0.0,SnO + Nb2O5 -> Nb2SnO6,-0.142,1073,1.798,1.94,1.531,0.363
Nb2O7Sn2,0.087,SnO + 0.5 Nb2O5 -> 0.5 Nb2Sn2O7,0.116,1073,2.056,1.94,1.716,0.782
Cu2In2O5,0.046,CuO + 0.5 In2O3 -> 0.5 In2Cu2O5,-0.012,1323,0.06,0.073,0.052,-0.065
Cu1In1O2,0.005,Cu2O + In2O3 -> 2 InCuO2,-0.068,1423,0.08,0.149,0.076,-0.006
Al4Bi2O9,0.0,Al2O3 + 0.5 Bi2O3 -> 0.5 Al4Bi2O9,-0.071,1073,-0.071,0.0,-0.051,-0.051
Al4Bi2O9,0.0,Al2O3 + 0.5 Bi2O3 -> 0.5 Al4Bi2O9,-0.079,1273,-0.079,0.0,-0.057,-0.057
Al1Bi1O3,0.053,Al2O3 + Bi2O3 -> 2 AlBiO3,0.025,1073,0.096,0.035,0.068,0.059
Ca1Cu1O2,0.016,CuO + Ca2CuO3 -> 2 CaCuO2,0.003,1073,0.057,0.06,0.049,0.016
Ca1Cu1O2,0.016,CuO + CaCO3 -> CO2 + CaCuO2,-0.009,1273,0.019,0.02,0.015,0.009
