target,hull_energy,rxn,dG_rxn,temperature,c1,c2,gamma_obs,gamma_opt
Bi3Er1O6,0.041608162,Bi2O3 + 0.3333 Er2O3 -> 0.6667 Er(BiO2)3,-0.078544997,1373,0.01122566,0.042201052,0.005671678,0.005671678
Bi1Er1O3,0.030865552,Er2O3 + Bi2O3 -> 2 ErBiO3,-0.063403311,1073,-0.011120081,0.020581575,-0.010532872,-0.010532872
O2S1Y2,0,Y2O3 + S -> Y2SO2 + 0.5 O2,0.238911523,1473,0.956240946,0.717329424,0.775777872,0.775777872
O2S1Y2,0,Y2O3 + S -> Y2SO2 + 0.5 O2,0.238819774,1423,0.98938364,0.750563866,0.803681895,0.803681895
O2S1Y2,0,Y2O3 + S -> Y2SO2 + 0.5 O2,0.239006343,1523,0.923010159,0.684003816,0.747799336,0.747799336
O2S1Y2,0,Y2O3 + S -> Y2SO2 + 0.5 O2,0.238731792,1373,1.022386782,0.78365499,0.831468015,0.831468015
O2S1Y2,0,Y2O3 + S -> Y2SO2 + 0.5 O2,0.238281919,1073,1.218670646,0.980388726,0.996715098,0.996715098
Li2Mo1O4,0,Li2CO3 + MoO3 -> Li2MoO4 + CO2,-0.090838194,673,-0.065375567,0,-0.051119337,-0.083518193
Li2Mo1O4,0,Li2CO3 + MoO3 -> Li2MoO4 + CO2,-0.106957491,773,-0.07434072,0,-0.05870961,-0.0883917
Li2Mo1O4,0,2 LiHO + MoO3 -> H2O + Li2MoO4,-0.191340143,1073,-0.092581394,0,-0.082324155,-0.103004913
Li2Mo1O4,0,2 LiHO + MoO3 -> H2O + Li2MoO4,-0.227926633,1323,-0.09423775,0,-0.089050063,-0.113562416
Li2Mo4O13,0.011148592,Li2CO3 + 4 MoO3 -> CO2 + Li2Mo4O13,-0.040567205,1073,0.113853241,0.115815334,0.089941948,0.024705193
Li4Mo5O17,0.014337891,Li2CO3 + 2.5 MoO3 -> CO2 + 0.5 Li4Mo5O17,-0.053524247,1073,0.100896199,0.092652268,0.074129662,0.038107116
Cr1O3Sr1,0.072545082,Cr2O3 + 2 Sr3Cr2O8 -> 0.5 O2 + 6 SrCrO3,0.144138596,1373,0.323256569,0.144192357,0.244789148,-0.006113138
Ca1Ga2O4,0.00265907,Ga2O3 + CaCO3 -> CO2 + Ca(GaO2)2,-0.104605722,1423,0.011068985,0.065724295,0.008036509,0.008036509
